공시일,기업명,보고서명,접수번호,출처,링크
2026-07-27,인피니트헬스케어,소송등의판결ㆍ결정              (경영권 분쟁 소송)(주주총회결의무효확인 등),20260727900575,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900575
2026-07-27,토박스코리아,소송등의제기ㆍ신청(경영권분쟁소송)              (주주명부열람등사 가처분신청),20260727900593,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900593
2026-07-27,NH투자증권,증권발행실적보고서,20260727000322,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000322
2026-07-27,한화투자증권,증권발행실적보고서,20260727000321,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000321
2026-07-27,토박스코리아,소송등의제기ㆍ신청(경영권분쟁소송)              (회계장부열람등사 가처분신청),20260727900570,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900570
2026-07-27,NH투자증권,일괄신고추가서류(파생결합증권-주가연계증권),20260727000320,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000320
2026-07-27,지역난방공사,일괄신고추가서류,20260727000319,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000319
2026-07-27,서부T&D,[기재정정]최대주주변경을수반하는주식담보제공계약체결              ,20260727900569,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900569
2026-07-27,NH투자증권,증권발행실적보고서,20260727000318,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000318
2026-07-27,에스원,결산실적공시예고(안내공시)              ,20260727800605,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800605
2026-07-27,대신증권,증권발행실적보고서,20260727000317,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000317
2026-07-27,한화플러스제5호스팩,주요사항보고서(회사합병결정),20260727000299,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000299
2026-07-27,나무기술,[기재정정]사업보고서 (2025.12),20260727000316,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000316
2026-07-27,하나증권,증권발행실적보고서,20260727000315,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000315
2026-07-27,한화플러스제5호스팩,주권매매거래정지              (SPAC 합병(예비심사청구대상)),20260727900597,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900597
2026-07-27,대신증권,증권발행실적보고서,20260727000313,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000313
2026-07-27,HC보광산업,주식등의대량보유상황보고서(일반),20260727000314,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000314
2026-07-27,한화투자증권,증권발행실적보고서,20260727000312,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000312
2026-07-27,하나증권,증권발행실적보고서,20260727000311,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000311
2026-07-27,iM금융지주,기업설명회(IR)개최(안내공시)              ,20260727800566,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800566
2026-07-27,iM금융지주,주요사항보고서(상각형조건부자본증권발행결정),20260727000272,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000272
2026-07-27,대신증권,증권발행실적보고서,20260727000310,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000310
2026-07-27,HC홈센타,주식등의대량보유상황보고서(일반),20260727000309,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000309
2026-07-27,한화투자증권,증권발행실적보고서,20260727000308,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000308
2026-07-27,우리은행,증권발행실적보고서,20260727000307,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000307
2026-07-27,대신증권,증권발행실적보고서,20260727000306,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000306
2026-07-27,한울앤제주,전환청구권행사              (제10회차),20260727900573,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900573
2026-07-27,케스피온,자기주식처분결과보고서,20260727000305,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000305
2026-07-27,한국항공우주,주식등의대량보유상황보고서(약식),20260727000304,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000304
2026-07-27,소프트캠프,주식등의대량보유상황보고서(일반),20260727000303,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000303
2026-07-27,기업은행,연결재무제표기준영업(잠정)실적(공정공시)              ,20260727800560,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800560
2026-07-27,신한은행,증권발행실적보고서,20260727000302,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000302
2026-07-27,한화투자증권,증권발행실적보고서,20260727000301,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000301
2026-07-27,대신증권,증권발행실적보고서,20260727000300,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000300
